,INPUT:id,OUTPUT:result,latex
0,440,омега равно два пи эф,\omega =2\pi f
1,441,игрек в степени ай запятая джей,"y_{i,j}"
2,442,скобка открывается а от нулевой степени до а энной степени скобка закрывается,"(a_{0},a_{1},...a_{N})"
3,443,дельта тэ равно тэ в степени и минус тэ в степени и минус один,\Delta t=t_{i}-t_{i-1}
4,444,эр принадлежит ку,r\in \mathbb {Q} 
5,445,е скобка открывается пэ скобка закрывается,E(P)
6,446,икс скобка открывается тэ скобка закрывается,x(\tau )
7,447,лямбда ,\lambda 
8,448,пи в степени вэ точка,\pi _{v}.
9,449,абсолютная величина точки в степени вэ,|\cdot |_{v}
10,680,пи икс,p_{x}
11,681,зе,z
12,682,эф равно эм а запятая ,"\mathbf {F} =m\mathbf {a} ,"
13,683,ка два,k_{2}
14,684,икс плюс икс плюс многоточие плюс икс,x+x+\cdots +x
15,685,пи,{\mathcal {P}}
16,686,а примерно эр,A\subseteq \mathbb {R} 
17,687,си же запятая ,"\mathbb {C} ^{n},"
18,688,эн равно один,n=1
19,689,а тэ равно эр а запятая ,a_{t}=r\alpha .
20,240,вэ  в и,\mathbf {V} _{i}
21,241,эф от икс дэ эл,(F)X_{d}(L)
22,242,предел джи от икс равно бэ икс стремится к а,\lim _{x\to a}g(x)=b
23,243,эм равно два три,"m=2,3"
24,244,эм умножить на эн,mn
25,245,единица принадлежит к ка икс вэ,1\in K_{v}^{\times }
26,246,икс принадлежит к ка икс вэ,"x\in K_{v}^{\times },"
27,247,множество е ка  ка принадлежит к зэд,\{e_{k}\mid k\in Z\}
28,248,производная от икс равно производная от икс,"F\,'(x)=G\,'(x)"
29,249,ноль целых девятьсот девяносто девять тысячных равно единице,"0.999\ldots =1,"
30,700,джи в степени,{\widehat {G}}.
31,701,зэд от нуля равно пэ ка разделить на а,Z_{0}={\frac {\rho c}{A}}.
32,702,эн принадлежит к множеству натуральных чисел,n\in \mathbb {N} .
33,703,множество бэ нулевое бэ один бэ два,"(b_{0},b_{1},b_{2},\ldots )"
34,704,и пэ тэ кси ти игрек эл е примерно равно,\scriptstyle \approx 
35,705,джи эл от двух,\operatorname {GL} (2)
36,706,единица плюс котангенс в квадрате от а равно косинус квадратный от а,1+\cot ^{2}A=\csc ^{2}A\ 
37,707,и квадрат или,\Lambda ^{2}V
38,708,игрек,y
39,709,вэ равно вэ эр,\mathbf {v} =W\mathbf {r} .
40,50,тау,t
41,51, топологическое замыкание каппа,\operatorname {Cl} _{K}
42,52,образом фи после применения функции к икс будет игрик,"\varphi :X\mapsto y,"
43,53,а бэ цэ стремяться к нулю,"a,b,c\rightarrow 0"
44,54,эл вэ,L_{v}
45,55,ти джей,t_{j}
46,56,"а эр бэ верны тогда и только тогда, когда бэ эр а верно",aRb\Leftrightarrow bRa
47,57,"и равно эл, многоточие ка","i=1,\ldots ,k,"
48,58,эр и,\mathbf {r} _{i}
49,59,а бэ,"A,B"
50,490,эр производная равно эр косинус дельта а,R'=R\cos \delta _{A}
51,491,игрек равно икс квадрат,y=x^{2}
52,492,игрек от эс равно джи от эс плюс и бэ от эс,"y(s)=g(s)+ib(s),"
53,493,ку от вэ,Q_{v}
54,494,эта умножить на вета принадлежит вэ от альфа,\eta \beta \in W_{\alpha }
55,495,эн от эл деленная на ка от а принадлежит эл ка,N_{L/K}(\alpha )\in I_{K}.
56,496,икс от и,x_{i}^{*}
57,497,зэд равно единице,z\not =1
58,498,пэ эйдж от о а от и,"pha _{o},\alpha _{i})"
59,499,бэ от ка,b_{k}
60,400,эль скобка открывается икс запятая эс скобка закрывается,"L(\chi ,s)"
61,401,дельта вэ,\Delta \mathbf {v} 
62,402,у принадлежит эр в степени икс,U\subset R^{\times }
63,403,пэ нулевое запятая,"P_{0},"
64,404,пэ,{\mathfrak {p}}
65,405,эс скобка открывается эф в степени икс запятая эф в степени игрек скобка закрывается,"S\left(f_{X},f_{Y}\right)"
66,406,эн икс равно игрек,nx=y
67,407,пэ,\mathbf {p} 
68,408,линейное а плюс бэ равно эс умножить скобка открывается а плюс бэ скобка закрывается,|a+b|=s(a+b)
69,409,е в степени икс,E_{x}
70,650,е равно эл,"E=L,"
71,651,четыре пи эр в кубе разделить на три,4\pi r^{3}/3
72,652,производная от о принадлежит вета,O'\in {\mathcal {B}}
73,653,е в минус и ка эр разделить на эр,{\frac {e^{-ikr}}{r}}
74,654,зэд от двух,\mathbb {Z} _{2}
75,655,пси,\Psi 
76,656,ноль целых девятьсот девяносто девять тысячных,0.999\ldots 
77,657,ка,"K,"
78,658,эл от ка примерно равно эм умножить на эл от единице по ка,I_{K}\cong M\times I_{K}^{1}.
79,659,зэд от эр,Z_{\mathbb {R} }
80,830,восемь пи разделить на три,8\pi /3
81,831,эф по двум умножить на модуль икс,\mathbb {F} _{2}[x]
82,832,е,e.
83,833,а от нуля,\alpha _{0}
84,834,эм бэ дэ а равно два пи на ка,mbda ={\frac {2\pi }{k}}
85,835,ка разделить на эл,K/L
86,836,эс от пяти,S_{5}
87,837,икс в энной степени,x^{n}
88,838,два плюс два равно четыре,2+2=4
89,839,эф,F
90,340,икс нижний регистр эн минус а не принадлежит у большое,x_{n}-a\notin U
91,341,вэ точка,v.
92,342,е верхний регистр звездочка чстрелка с чертой производная е,e^{\star }\mapsto e'
93,343,эр большое нижний регистр плюс,\mathbb {R} _{+}
94,344,эф скобка открывается эф скобка открывается минус четыре запятая ноль скобка закрывается запятая плюс четыре скобка закрывается равно плюс один,"f(f(-4,0),+4)=+1"
95,345,ро нижний регистр эс большое,\rho _{S}
96,346,действительная часть комплексного числа скобка открывается зэта скобка закрывается равно икс,\operatorname {Re} (z)=x
97,347,а равно скобка открывается а первое запятая а второе запятая троеточие запятая а энное скобка закрывается,"a=(a_{1},a_{2},\dots ,a_{n})"
98,348,модуль икс равно минус икс больше ноль,|x|=-x>0
99,349,дельта приблизительно равно дэ разделить на дэ большое,\delta \approx d/D
100,1030,эр в энной степени,\mathbb {R} ^{n}
101,1031,эр умножить на эа,R\times R
102,1032,эф индекс в икс в игрек,f:X\to Y
103,1033,вэ,w
104,1034,ви,\mathbf {v} 
105,1035,а,a_{\perp }
106,1036,эф икс равно единица плюс икс в альфа,"f(x)=(1+x)^{\alpha },"
107,1037,модуль периода в пэ,|\cdot |_{p}
108,1038, икс меньше нуля,x<0
109,1039,тхэта равно сигма умножить на корень шестой степени из двух,\theta =\zeta {\sqrt[{6}]{2}}
110,1320,икс запятая игрек принадлежит эс,"x,y\in S."
111,1321,пэ запятая,"p,"
112,1322,кэ в степени один,k_{1}
113,1323,и в степени б,I_{b}
114,1324,о скобка открывается эн в степени два скобка закрывается точка,O(n^{2}).
115,1325,икс в минус первой степени равно игрек,x^{-1}=y
116,1326,дабл ю запятая дабл ю обращенная назад,"w,w'"
117,1327,бэ равно бэ один плюс и бэ два,b=b_{1}+ib_{2}
118,1328,а равно скобка открывается а в степени вэ скобка закрывается степени вэ принадлежит и в степени кэ,a=(a_{v})_{v}\in I_{K}
119,1329,линейное значение альфы в степени пэ больше одного,|\alpha _{p}|>1.
120,900,кю пэ делить на зэт пи,\mathbb {Q} _{p}/Z_{p}
121,901,бэ плюс пэ эл делённое на два,B+{\frac {PL}{2}}
122,902,синус а равен единице делённой на косинус а,\sin A={\frac {1}{\csc A}}
123,903,вэ не равно вэ ноль,v\neq v_{0}.
124,904,зэт пэ,\mathbb {Z} _{p}.
125,905,ка один факториал ка два факториал многоточие ка эм факториал,"k_{1}!\,k_{2}!\cdots k_{m}!"
126,906,функция эс от тэ,\mathbf {s} (t)
127,907,сумма ряда а эн б эн,\sum a_{n}b_{n}
128,908,икс один многоточие икс эн,"x_{1},\ldots ,x_{n}"
129,909,лимит икс стремиться к пэ в степени плюс функции икс равен эл,\lim _{x\to p^{+}}f(x)=L
130,910,икс стремится к пэ,x\to p
131,911,и пэ тэ эс тэ игрек эл е приблизительно,\scriptstyle \sim 
132,912,цэ умножить на цэ от икс равно цэ от икс,C(C(x))=C(x)
133,913,сходство фэ,{\tilde {f}}
134,914,джи от икс равно нулю,G(x)=0
135,915,икс один плюс икс два плюс икс три плюс икс четыре равно три,x_{1}+x_{2}+x_{3}+x_{4}=3
136,916,вэ пэ от икс равно эн,v_{\mathfrak {p}}(x)=n
137,917,фэ в джи,f^{g}
138,918,ипсилон,u.
139,919,надмножество,\supset 
140,370,пи три,p_{3}
141,371,игрек икс игрек икс икс,YXYXX
142,372,минус эм умножить зэд умножить на омега в кквадрате,-m\cdot z\cdot \omega ^{2}
143,373,множество ку от кси эн,\mathbb {Q} (\zeta _{n})
144,374,два бэ плюс пи эйдж,2B+Ph
145,375,дельта минус кси,\delta -\epsilon 
146,376,е ноль ноль равно единица,"E(0,0)=1"
147,377,бэ по эн равно тэ по эн эн,"b_{n}=T_{n,n}"
148,378,омега по двум,\omega _{2}
149,379,эф мультипликативная группа,f^{*}
150,930,эм больше эн,m>n
151,931,множество ноль ноль цэ ноль один,"(0,0,\dotsc ,0,1)"
152,932,е по зэд,E_{z}
153,933,множество вэ,\{v\}.
154,934,цэ по ка в эн,C_{k}^{n}
155,935,сходство фэ,{\tilde {\Phi }}
156,936,эн,{\hat {\mathbf {n} }}
157,937,ноль,"O,"
158,938,икс минус игрек минус зэд равно икс минус игрек минус зэд,x-y-z=(x-y)-z
159,939,а разделить на тэ от а,A/T(A)
160,500,альфа по а минус альфа по бэ намного меньше единицы ,\alpha _{A}-\alpha _{B}\ll 1
161,501,пэ по икс,P(x)
162,502,эф по рем умножить на модуль икс,\mathbb {F} _{3}[x]
163,503,модуль икс равно икс,|x|=x
164,504,е тэ а по нулю вета по и,"eta _{o},\beta _{i})"
165,505,цэ по ка в эн равно пэ по ка в эн разделить на ка,C_{k}^{n}=P_{k}^{n}/k!
166,506,ку от икс,\mathbb {Q} (x)
167,507,икс по двум игрек по двум равно нулю,"(x_{2},y_{2})=\mathbf {0} "
168,508,эр а цэ двенадцать,"rac {1}{2}}(1+{\sqrt {d}}\,)"
169,509,вэ перпендикуляр,\mathbf {v} _{\perp }
170,210,вэ ноль,v_{0}
171,211,два пи эр скобка открывается эр плюс аш скобка закрывается,2\pi r(r+h)
172,212,а е,\mathbb {A} _{E}
173,213,икс равно тэ,x=t
174,214,функция а джи с областью значения ай джи и областью определения а,A_{j}:I_{j}\to A
175,215,множество всех пределов последовательностей,\mathbb {R} .
176,216,эд пэ аш а ноль бета ноль скобка закрывается,"lpha _{o},\beta _{o})"
177,217,мультипликативная группа поля е является элементом множества е,e^{\star }\in E^{\star }.
178,218,функция а от тэ равна е в степени даблъю тэ умноженному на функцию а ноль,"A(t)=e^{Wt}A(0),"
179,219,каждый элемент из пэ ноль также является элементом из пэ,P\supset P_{0}.
180,220,тэ,T
181,221,цэ о эн по эл деленная на ка,\operatorname {con} _{L/K}
182,222,ипсилон,{\mathcal {U}}
183,223,ка по трем,k_{3}
184,224,омега от пэ,\Omega (P)
185,225,эл равно эл омега,L=I\omega .
186,226,бесконечность,\infty 
187,227,эн а равно нулю,nA=0
188,228,модуль пэ бесконечность равно эр плюс эс,|P_{\infty }|=r+s.
189,229,ка принадлежит зэд,k\in \mathbb {Z} 
190,570,интеграл косинус икс по дэ икс равно синус икс плюс цэ большое точка,"\int \cos(x)\,dx=\sin(x)+C."
191,571,интеграл эф от икс по дэ икс точка,"\int f(x)\,\mathrm {d} x."
192,572,предел эф от икс при икс стремящемся к пэ равно эль большое запятая,"\lim _{x\to p}f(x)=L,"
193,573,квадратный корень из эн,{\sqrt {n}}
194,574,эс большое нижний регистр эм,S_{m}
195,575,а итое,a_{i}
196,576,и пэ тэ эс тэ игрек эль е икс равно эль разделить на два,\scriptstyle x={\frac {b}{2}}
197,577,бэ большое равно два,B=2
198,578,конъюнкция у,\mathbf {\hat {u}} 
199,579,е верхний регистр и два пи кси большое икс запятая кси большое больше ноль,"e^{i2\pi \xi x},\xi >0"
200,60,зэд от тэ равно эр от тэ плюс и икс от тэ,"z(t)=r(t)+ix(t),"
201,61,пэ по зэд,p_{z}
202,62,тхэта равно два пи эр разделить на эр,\theta ={\frac {2\pi r}{r}}
203,63,лямбда ,{\mathcal {L}}
204,64,пэ равно пэ по бесконечности,P=P_{\infty }
205,65,предел эф от имк икс стремится к цэ равно эф от цэ,\lim _{x\to c}f(x)=f(c).
206,66,бета принадлежит у пересечение с ку,"\beta \in U\cap \mathbb {Q} ,"
207,67,цэ больше единицы,"C>1,"
208,68,равно эр омега,=r\omega 
209,69,эм по джи равно единице в цэ тау по джи равно нулю,m _{j=1}^{C}\tau _{j}=0
210,530,а по эф,A_{f}
211,531,цэ от тэ равно у от тэ вэ от тэ,"\mathbf {C} (t)=(u(t),v(t))"
212,532,треугольник равно бэ квадрат минус четыре а цэ,\Delta =b^{2}-4ac.
213,533,икс равно икс от вэ умножить на вэ,x=(x_{v})_{v}
214,534,цэ один равно единице,C_{1}=1
215,535,вэ неравно единице,w\neq 1
216,536,икс по и принадлежит отрезку икс по и минус один икс по и,"x_{i}^{*}\in [x_{i-1},x_{i}]"
217,537,цэ,c
218,538,эл равно эр квадрат эм омега,"L=r^{2}m\omega ,"
219,539,два дэ а разделить на дэ икс минус два равно а квадрат минус единица,2{\frac {dA}{dx}}-2=A^{2}-1
220,1040,пи делённое на три корня из трёх,{\frac {\pi }{3{\sqrt {3}}}}
221,1041,эн си ка,{}_{n}C_{k}
222,1042,дабл ю,W
223,1043,вектор зэ равен икс минус и игрик,{\bar {z}}=x-iy
224,1044,модуль зэ один равен кю,"|z_{1}|=Q,"
225,1045,функция вэ эпсилон равна нулю,v(\xi )=0
226,1046,эр ламбда джи,"r_{\lambda ,j}"
227,1047,функция эф икс плюс си,F(x)+C
228,1048,функция си икс,C(X)
229,1049,аргумент си эн,\arg(c_{n})
230,450,а принадлежит ку,a\in \mathbb {Q} .
231,451,зэд один принадлежит эл ка,"z_{1}\in I_{K},"
232,452,тхэта,\theta 
233,453,игрек принадлежит ку от тхэта,y\in \mathbb {Q} (\theta )
234,454,множество а по а в икс,"\mathbb {A} _{A}^{\times },"
235,455,икс квадрат плюс игрек квадрат минус а равно нулю,x^{2}+y^{2}-a=0
236,456,бэ равно единице,B=1
237,457,е влечет е тензорное произведение единица,e\mapsto e\otimes 1.
238,458,ка факториал,k!
239,459,икс от эс равно икс по эл от эс минус икс по цэ от эс,"X(s)=X_{L}(s)-X_{C}(s),"
240,540,эпсилон эр,\varepsilon _{\rm {r}}
241,541,а эл,\mathbb {A} _{L}
242,542,а умноженное на а стремиться к а,A\times A\rightarrow A
243,543,треугольник эф,\Delta f
244,544,целые числа эм эн,\mathbb {Z} _{mn}
245,545,синус а равен произведению косинуса а и тангенса а,\sin A=\cos A\cdot \tan A
246,546,означает икс является элементом множества тэ,"x\in T,"
247,547,пэ тэ,P_{t}
248,548,функция пэ икс равна разности произведения бэ икс и скс в квадрате,p(x)=bx-x^{2}
249,549,и ка,I_{K}
250,120,дельта тэ,\Delta t
251,121,множество а по е,\mathbb {A} _{E}.
252,122,разделить,\div 
253,123,дельта,\delta 
254,124,икс в кубе,x^{3}
255,125,корень из эн разделить на 2,{\frac {\sqrt {n}}{2}}
256,126,и по ка стремится к и по эл,I_{K}\to I_{L}
257,127,ка по вэ в икс,K_{v}^{\times }
258,128,предел а эн эн стремится к бесконечности равно нулю,\lim _{n\to \infty }a_{n}=0
259,129,эм минус эн,m-n
260,1050,эм,M
261,1051,а дабл вэ е ка вэ,a_{w}\in K_{v}
262,1052,ка меньше или равно дэ ка,k\leq d_{k}
263,1053,пи,{\widetilde {P}}
264,1054,и запятая джей равно один запятая троеточие запятая эн,"i,j=1,...,n"
265,1055,вэ меньше бесконечность,v<\infty 
266,1056,игрик равно икс,y=x
267,1057,скобка открывается дабл вэ скобка закрывается меньше одного,|w|<1
268,1058,эм эр в квадрате ,mr^{2}
269,1059,зе ноль равно пи цэ точка,z_{0}=\rho c.
270,320,ка по зэд,k_{z}
271,321,икс принадлежит пэ в эн,x\in {\mathfrak {p}}^{n}
272,322,у равно вэ на тэ,u=w/t
273,323,а,a
274,324,множество эр,\mathbb {R} 
275,325,икс минус а,x-a
276,326,ка а отображается эта от ка а,"(k,a)\mapsto \eta (k)a."
277,327,эф разделить на джи,f/g
278,328,период,(\cdot )
279,329,один минус два плюс четыре минус восемь,1-2+4-8\ldots 
280,1300,эйч,\mathbb {H} 
281,1301,эр,{\dot {r}}
282,1302,о,0}
283,1303,ку скобка открывается тэ скобка закрывается равно скобка открывается джи умножить на пи скобка закрывается скобка открывается тэ скобка закрывается запятая ,"Q(t)=[G*p](t),"
284,1304,эм эн в степени бесконечность равно один эн,m _{n=1}^{\infty }n
285,1305,лимит икс стремится к бесконечности эф скобка открывается икс скобка закрывается равно эль запятая,"\lim _{x\to \infty }f(x)=L,"
286,1306,икс игрик икс икс игрик,XYXXY
287,1307,эн стремится к бесконечности ,n\to \infty 
288,1308,скобка открывается зе скобка закрывается равно эр точка,|z|=r.
289,1309,альфа минус бетта е дабл вэ точка,\alpha -\beta \in W.
290,1330,один три семь пятнадцать,"1,3,7,15,\ldots ;"
291,1331,а в тэ,A^{\mathrm {T} }
292,1332,эм по вэ,M_{v}
293,1333,эта,\eta 
294,1334,а равно интеграл по а в бэ эф от икс дэ икс,"A=\int _{a}^{b}f(x)\,dx."
295,1335,интеграл,\int 
296,1336,и по ка в единице,I_{K}^{1}
297,1337,эл,\ell 
298,1338,а равно одна вторая бэ эн,A={\frac {1}{2}}bh
299,1339,для любых  существует,"\forall ,\exists "
300,1120,икс от эс равно икс по эл от эс минус икс по цэ от эс,"x(s)=x_{L}(s)-x_{C}(s),"
301,1121,эс умножить на икс меньше или равно модуль икс,s\cdot x\leq |x|
302,1122,а по пэ принадлежит зэд по пэ,a_{p}\in \mathbf {Z} _{p}
303,1123,ка по у,k_{u}
304,1124,бета принадлежит как в икс,"\beta \in K^{\times },"
305,1125,дельта от эпсилон стремится к нулю,\delta (\varepsilon )\to 0
306,1126,ку,\sigma 
307,1127,а плюс бэ и плюс цэ плюс дэ и равно а плюс цэ плюс бэ плюс ,(a+bi)+(c+di)=(a+c)+(b+d)i.
308,1128,зэ от эс равно эр от эс плюс и икс от эс,"z(s)=r(s)+ix(s),"
309,1129,четыре пи,4\pi 
310,760,е в степени минус дабл-ю разделить на тэ,e^{-w/t}
311,761,игрек равно два,y=2.
312,762,икс первое запятая троеточие икс энное принадлежит а большое,"x_{1},\dots x_{n}\in A"
313,763,пэ большое,P
314,764,зэта большое нижний регистр пэ верхний регистр эн,\mathbb {Z} _{p}^{n}
315,765,конъюнкция эр,{\hat {r}}
316,766,а большое верхний регистр икс,A^{\times }
317,767,икс энное,x_{n}
318,768,зэта равно ноль,z=0
319,769,эр в квадрате эм,r^{2}m
320,1250,эф фи равно вэ,{f\lambda }=v
321,1251,джи эль,\mathrm {GL} 
322,1252,игрик равно эф скобка открывается икс скобка закрывается запятая,"y=f(x),"
323,1253,е больше нуля,\varepsilon >0
324,1254,скобка открывается зе скобка закрывается ,|z|
325,1255,скобка открывается а запятая бэ скобка закрывается плюс скобка открывается цэ запятая дэ скобка равно скобка открывается а плюс цэ запятая бэ плюс дэ скобка точка,"(a,b)+(c,d)=(a+c,b+d)."
326,1256,плюс один умножить на икс меньше или равно скобка открывается икс скобка закрывается ,+1\cdot x\leq |x|
327,1257,тэ эф скобка открывается икс скобка закрывается дэ икс равно эф скобка открывается икс скобка закрывается плюс цэ,"t f(x)\,dx=F(x)+C"
328,1258,а меньше нуля,a<0
329,1259,синус а примерно а,\sin a\approx a
330,740,ка минус один джи минус один,"(k-1,j-1)"
331,741,икс по и,X_{i}
