,INPUT:id,OUTPUT:result,latex
664,644,а по нулю,a_{0}
665,645,а по вэ,\alpha _{v}
666,646,квадратный корень из двух,{\sqrt {2}}
667,647,синус икс,\sin(x)
668,648,эс эр разделить на три,Sr/3
669,649,е стремится к а по е,E\to \mathbb {A} _{E}
670,1080,множество синус цэ ноль косинус цэ,"(\sin c,\,0,\,\cos c)"
671,1081,пи по вэ,\pi _{v}
672,1082,е стремится к ка,E\to K.
673,1083,единица минус один плюс один минус один плюс,1-1+1-1+\cdots 
674,1084,вэ по и,V_{i}
675,1085,зэд принадлежит к множеству зэд,z\in \mathbb {Z} 
676,1086,фэ по и,F_{i}
677,1087,икс влечёт минус икс,x\mapsto -x.
678,1088,икс квадрат плюс игрек квадрат минус единица равно нулю,x^{2}+y^{2}-1=0
679,1089,джи равно множество от икс один до икс энного,"G=\{x_{1},\ldots ,x_{n}\}"
680,520,в скобках икс квадрат плюс икс плюс один умножить на скобки икс в кубе плюс икс в кубе плюс один,(x^{2}+x+1)(x^{3}+x^{2}+1)
681,521,эн,\ N\ 
682,522,а по ка,a_{k}
683,523,ку разделить на ка стремится к цэ,\sigma :K\to \mathbb {C} 
684,524,интеграл по а от тэ дэ тэ,\int _{a}^{\infty }f(t)\;dt
685,525,ка по вэ,K_{v}
686,526,эм по вэ,{\mathfrak {m}}_{v}
687,527,в скобках ноль ноль один,"(0,\,0,\,1)"
688,528,эф разделить на эс влечёт множество эр,f:S\mapsto \mathbb {R} 
689,529,а плюс дэ плюс бэ равно сто восемьдесят,a+d+b=180
690,1200,конъюнкция эн,{\hat {n}}
691,1201,икс равно одна вторая,x={\frac {1}{2}}
692,1202,функция эн эл ка с областью определения и л и областью значения и ка,N_{L/K}:I_{L}\to I_{K}.
693,1203,и джей джей являются элементом множества джей,"I_{j},j\in J"
694,1204,эф пересекает джи,f\times g
695,1205,функция ан от омега,H(\omega )
696,1206,произведение е а равно произведению а е равно а,e\cdot a=a\cdot e=a
697,1207,функция кю минус функция пэ равно функция фи от разности кю и пэ,f(Q)-f(P)=\varphi (Q-P)
698,1208,не формула,\scriptstyle \backsim 
699,1209,е кю а эн плюс модуль а эн меньше либо равно 2 модуль а эн,eq a_{n}+|a_{n}|\leq 2|a_{n}|
700,260,икс по дэ,X_{d}
701,261,а по и равно единице,a_{i}=1
702,262,е по игрек,E_{y}
703,263,зэд от эс равно эр от эс плюс и икс от эс,"Z(s)=R(s)+iX(s),"
704,264,а по вэ,a_{\nu }
705,265,зэд по пэ квадрат,\mathbb {Z} _{p^{2}}
706,266,фэ,\ f\ 
707,267,эм подмножество цэ,M\subset \mathbb {C} 
708,268,эр,\mathbb {R} ^{*}
709,269,ку по ка,{\mathcal {O}}_{K}
710,1140,а бэ цэ,"a,\;b,\;c"
711,1141,бэ и джи цэ а эр икс,bigcap X_{i}
712,1142,в скобках икс умножить на икс умножить на игрек равно икс умножить на скобки икс умножить на игрек,(xx)y=x(xy)
713,1143,зэд в эс,"\mathbb {Z} ^{s},"
714,1144,два в ка,2^{\kappa }
715,1145,вектор у от тэ равно в скобках икс от тэ игрек от тэ,"{\vec {u}}(t)=(x(t),y(t))"
716,1146,и по ка в первой,I_{K}^{1}.
717,1147,эн умножить на эн,n\times n
718,1148,а по и,{\mathfrak {a}}_{i}
719,1149,модуль икс в модуле по игрек равно модуль икс в степени игрек,"|X|^{|Y|}=\left|X^{Y}\right|,"
720,470,альфа,\alpha 
721,471,а по и,A_{i}
722,472,модуль икс минус а меньше эр,|x-a|<r
723,473,цэ,"C,"
724,474,логарифм эн,\log n
725,475,ка плюс один,(k+1)
726,476,икс в пятой минус икс минус один равно нулю,x^{5}-x-1=0
727,477,минус два цэ,-2c
728,478,цэ равно сто,C=100
729,479,эр от тэ,\mathbf {r} (t)
730,1240,икс равно две трети,x=2/3
731,1241,икс по вэ в минус первой принадлежит о в вэ,x_{v}^{-1}\in O_{v}
732,1242,ка эл равно на пи минус тангенс в минус первой ка икс ,kL=n\pi -\tan ^{-1}kx
733,1243,эм равно сумме эм по и,M=\sum _{i}m_{i}.
734,1244,бэта по вэ равно единице,\beta _{v}=1
735,1245,зэд умножить на корень из минус пяти,\mathbf {Z} [{\sqrt {-5}}]
736,1246,эл равно эр эм вэ синус фи,"L=rmv\sin(\theta ),"
737,1247,эф от кси,{\hat {f}}(\xi )
738,1248,производная множества а по е,\mathbb {A} _{E}'
739,1249,а,A
740,1190,икс меньше единицы,x<1
741,1191,тхэта является элементом  множества комплексного числа,\theta \in \mathbb {C} 
742,1192,множество эр дэ цэ большое,"r,d,C,"
743,1193,у порядка вэ,U_{v}
744,1194,множество о эн,"[0,N)"
745,1195,е,e
746,1196,функция,f.
747,1197,четыре делённое на два разделить на два это не равно четыре делённое на два разделить на два,"(4/2)/2\,\neq \,4/(2/2)"
748,1198,множество элементов удовлетворяющих условию функция от икс что верно икс являющийся элементом а большое,\{f(x)|x\in A\}
749,1199,абсолютная величина икс равна единице,|x|=1
750,280,у по вэ подмножество ка по вэ,U_{v}\subset K_{v}
751,281,лямбда,{\cal {L}}
752,282,эл разделить на ка,L/K
753,283,и по ка,"I_{K},"
754,284,ка в икс,K^{\times }
755,285,эн,\aleph 
756,286,зэд умножить на модуль а,\mathbb {Z} [\alpha ]
757,287,икс эр игрек,xRy
758,288,корень квадратный из эс умножить в скобках эс минус а умножить в скобках эс минус бэ к скобках эс минус цэ,{\sqrt {s(s-a)(s-b)(s-c)}}
759,289,икс игрек,xy
760,750,эн больше нуля,n>0
761,751,фи от тэ,\phi (t)
762,752,интеграл от два икс дэ икс равно икс квадрат плюс цэ,"\int 2x\,dx=x^{2}+C."
763,753,эр больше нуля,r>0
764,754,эр,\mathbf {r} 
765,755,тэ по ка эн,"T_{k,n}"
766,756,эв по лямбда принадлежит эс,f_{\lambda }\in S
767,757,о эн квадрат,O(n^{2})
768,758,множество ку,\mathbb {Q} 
769,759,а равно нулю,\alpha =0
770,1180,вэ,"W,"
771,1181,минус и аш,-i\hbar 
772,1182,джи по бэ умножить зэд по ка бэ,"g_{b}(Z_{k,b})"
773,1183,пэ по вэ,{\mathfrak {p}}_{v}
774,1184,вэ два,\mathbf {v} _{2}
775,1185,эс по эн равно единица минус единица деленная на два в эн,s_{n}=1-{\frac {1}{2^{n}}}.
776,1186,пэ от пяти больше нуля,P(5)>0
777,1187,тэ по ка эн равно тэ по ка эн минус один плюс тэ по ка минус один ка минус эн,"T_{k,n}=T_{k,n-1}+T_{k-1,k-n}"
778,1188,джи,G.
779,1189,два в эн по нулю,2^{\aleph _{0}}.
780,1090,зет большое импликация а большое,\mathbb {Z} \to A
781,1091,а отображение скобка открывается а запятая а запятая троеточие скобка закрывается точка,"a\mapsto (a,a,\ldots )."
782,1092,эф большое,\mathbf {F} 
783,1093,икс запятая игрек принадлежит гэ большое,"x,y\in G"
784,1094,вэ нижний регистр ка,v_{k}
785,1095,альфа нижний регистр вэ равно лямбда,\alpha _{v}=\lambda 
786,1096,алеф-нуль,\aleph _{0}
787,1097,а скобка окрывается бэ эс скобка закрывается равно скобка открывается а бэ скобка закрывается эс запятая,"a(bs)=(ab)s,"
788,1098,эф скобка открывается икс нулевое плюс пи вектор эр,f(x_{0}+\pi {\vec {r}})
789,1099,ню нижний регистр пэ скобка открывается эн скобка закрывается,\nu _{p}(n)
790,620,эф разделить на а умножить на а стремится к бэ,f\colon A\times A\to B
791,621,один разделить на два не равно два разделить на один,1\div 2\neq 2\div 1
792,622,ноль,0
793,623,цэ,{\mathfrak {c}}
794,624,минус эр умножить на омега в квадрате,-r\cdot \omega ^{2}
795,625,икс плюс игрек больше нуля,x+y>0
796,626,цэ по эн в ка,C_{n}^{k}
797,627,кси,\xi 
798,628,множество а по а,"\mathbb {A} _{A},"
799,629,"ноль меньше модуля икс минус а меньше кси
",0<|x-a|<\delta .
800,970,и равно ка квадрат эм,"I=k^{2}m,"
801,971,три плюс и корень из двух,3+i{\sqrt {2}}
802,972,эр а цэ дэ игрек дэ икс,rac {dy}{dx}}=f(x)
803,973,лямбда равно единице,\lambda =1
804,974,омега один плюс омега два,\omega _{1}+\omega _{2}
805,975,два минус шесть и,"2-6i,"
806,976,эн по и,n_{i}
807,977,ка по вэ,K_{\nu }
808,978,корень из дэ,{\sqrt {d}}
809,979,о а,\mathbf {OA} 
810,550,фи равно эс разделить на эр,\theta ={\frac {s}{r}}
811,551,в скобках шесть,(6)
812,552,зэд,\mathbf {Z} 
813,553,эр три,r_{3}
814,554,множество зэд,\mathbb {Z} .
815,555,минус,-
816,556,дэ во второй в цэ эн,d^{2^{cn}}
817,557,эс равно в скобках а плюс бэ плюс цэ разделить на два,s=(a+b+c)/2
818,558,в скобках единица минус зэд умножить эф по эн от зэд,(1-z)f_{n}(z)
819,559,бета равно нулю,\beta =0.
820,1100,зет е и ка запятая ,"z\in I_{K},"
821,1101,икс в квадрате ,x^{2}
822,1102,скобка открывается один минус два в степени один минус эс скобка закрывается зет скобка открывается эм скобка закрывается равно эн скобка открывается эс скобка закрывается ,(1-2^{1-s})\zeta (s)=\eta (s)
823,1103,ноль ,0}\ll {\frac {1}{\lambda f}}
824,1104,пи эр эль,\pi rl
825,1105,эн равно два,\eta =2
826,1106,косинус а,\cos a
827,1107,эпсилон эн равно один один в степени эн,\sum _{n=1}^{\infty }1^{n}
828,1108,и умножить на и два,\|\cdot \|_{2}
829,1109,о вэ точка,O_{v}.
830,1230,е принадлежит а по е,e\in \mathbb {A} _{E}
831,1231,ка больше эн,k>n
832,1232,эн по а,"\aleph _{\alpha },"
833,1233,у,U
834,1234,мю если мю,\mu \mapsto {\hat {\mu }}
835,1235,икс в игрек в степени зэд равно икс в игрек зэд,(x^{y})^{z}=x^{(yz)}
836,1236,а,(a)
837,1237,а один а два а эр,"a_{1},a_{2},\ldots ,a_{r}"
838,1238,зэд по восьми,\mathbb {Z} _{8}
839,1239,два разделить на три четвертых,{\dfrac {2}{3/4}}
840,810,джи и джей ,g_{ij}
841,811,е е а е,e'\in \mathbb {A} _{E}'
842,812,пи точка,\pi .
843,813,зет эн ,\zeta _{n}
844,814,бэ ноль,b_{0}
845,815,ноль стремится к эм один стремится к эм стремится к эм два стремится к нулю ,0\to M'\to M\to M''\to 0
846,816,эм е эн точка,m\in \mathbb {N} .
847,817,о е скобка открывается ноль запятая один скобка закрывается ,"\theta \in [0,1]"
848,818,пэ ноль,{\acute {P}}_{0}
849,819,икс два,x_{2}
850,1270,эл равно эр фи,\ell =r\phi 
851,1271,лямбда в эн равно единице,"\lambda ^{n}=1,"
852,1272,зэд от джи,Z(G)
853,1273,вэ по а,W_{\alpha }
854,1274,джи от икс равно три икс плюс семь,g(x)=3x+7
855,1275,эф от икс игрек равно икс плюс игрек,"f(x,y)=x+y"
856,1276,меньше,<
857,1277,икс равно цэ от икс,x=C(x).
858,1278,эйдж от икс равно лямбда от икс,h(x)=\Im {(f(x))}
859,1279,у подмножество и по ка,"U\subset I_{K},"
860,960,вэ пэ запятая ,"v_{\mathfrak {p}},"
861,961,альфа минус скобка открывается эр плюс эс скобка закрывается е дабл вэ точка,\alpha -(r+s)\in W.
862,962,скобка открывается тэ и минус один запятая тэ и скобка закрывается ,"[t_{i-1},t_{i}]"
863,963,эф скобка открывается икс скобка закрывается равно один дробь икс в квадрате ,f(x)=1/x^{2}
864,964,ка один запятая ка два запятая многоточие запятая ка ю,"k_{1},k_{2},\dots ,k_{u}"
865,965,цэ равно два пи эр запятая ,"C=2\pi r,"
866,966,альфа и джей запятая ,"\alpha _{ij},"
867,967,и,/
868,968,тэ эн,T_{n}
869,969,е в степени а плюс бэ равно е в степени а е в степени бэ точка ,e^{a+b}=e^{a}e^{b}.
870,170,модуль джи от икс минус бэ больше нуля,|g(x)-b|>0
871,171,производная а по е,"\mathbb {A} _{E}',"
872,172,эф от икс,"f(x),"
873,173,ка по е,K_{i}
874,174,е по и равно единице,e_{i}=1
875,175,джи по и умножить на джи по джи,g_{i}\cdot g_{j}
876,176,е джи а равно вэ на эр,ega ={\frac {v}{r}}
877,177,о принадлежит а,O\in {\mathcal {A}}
878,178,эр е альфа равно нулю,\operatorname {Re} \alpha =0
879,179,эпсилон стремится к нулю,\varepsilon \to 0
880,40,икс игрек икс игрек икс,XYXYX
881,41,один разделить на два в эн,{\frac {1}{2^{n}}}
882,42,эф от джи минус джи от икс равно цэ,F(x)-G(x)=C
883,43,а умножить на бэ равно бэ умножить на а равно е,a\cdot b=b\cdot a=e
884,44,один,1
885,45,цэ от икс равно единица плюс икс цэ от икс квадрат,c(x)=1+xc(x)^{2};
886,46,ку от корня из дэ,\mathbb {Q} ({\sqrt {d}})
887,47,икс по и,X_{i}.
888,48,интеграл дэ икс ,"\int _{a}^{b}\cdots \,dx"
889,49,эм по бэ в бэ равно единица и бэ,m _{b=1}^{B}I_{b}
890,730,эн скобка открывается икс запятая игрик скобка закрывается ,"n(x,y)"
891,731,скобка открывается ка запятая джей плюс один скобка закрывается ,"(k,j+1)"
892,732,эр пэ равно зет пэ эль пэ в степени икс пэ,r_{p}=z_{p}/p^{x_{p}}
893,733,и е вэ,l\in V
894,734,джи равно а плюс цэ,G=A\oplus C
895,735,дэ дробь дэ икс скобка открывается икс в квадрате скобка закрывается равно два икс точка ,{\frac {d}{dx}}(x^{2})=2x.
896,736,икс в степени эн минус один равно ноль,x^{n}-1=0
897,737,эн минус ка,n-k
898,738,два в степени е ноль равно е один,2^{\aleph _{0}}=\aleph _{1}.
899,739,эр равно е и,\mathbf {r} =\mathbf {e} _{i}
900,150,синус альфа синус бета,\sin a\sin b
901,151,эс и по ка эс,"S,I_{K,S}"
902,152,вэ не принадлежит пэ,v\notin P.
903,153,минус четыре бэ скобка закрывается плюс бэ равно сто восемьдесят,-4b)+b=180
904,154,и пэ тэ эс тэ игрек эл е вэ,\scriptstyle b
905,155,период период,"\langle \cdot ,\cdot \rangle "
906,156,плюс минус единица,\pm 1
907,157,и пэ тэ эс тэ игрек эль е два вэ,\scriptstyle 2b
908,158,минус эн,-n
909,159,икс по и в эн и принадлежит эф по и минус один,x_{i}^{n_{i}}\in F_{i-1}
910,310,икс и е эф и,x_{i}\in F_{i}
911,311,эф скобка открывается икс скобка закрывается равно эль эн скобка открывается икс скобка закрывается плюс цэ,F(x)=\ln |x|+c
912,312,джей равно эн минус ка,j=n-k
913,313,а скобка открывается ноль скобка закрывается равно а ноль дробь ноль восклицательный знак равно один,A(0)=A_{0}/0!=1
914,314,синус бэ синус а равно минус а синус бэ,\sin b\sin A=\sin a\sin B
915,315,тэ и равно а плюс и скобка открывается бэ минус а скобка закрывается дробь эн равно а плюс и дельта тэ,t_{i}=a+i(b-a)/N=a+i\Delta t
916,316,а зет,\mathbf {A} _{\mathbf {Z} }
917,317,пэ четыре ,p_{4}
918,318,скобка открывается фи эн скобка открывается икс двойная скобка закрывается ,\{\varphi _{n}(x)\}
919,319,о стремится к о один,O\mapsto O'
920,140,о от в,O_{v}:
921,141,а н плюс 1 меньше или равно а в эн,|a_{n+1}|\leq |a_{n}|
922,142,эн не равно нолю,n\neq 0.
923,143,ка разделить на ку равно эр плюс два эс,[K:\mathbb {Q} ]=r+2s.
924,144,модуль сэ в эн,\left\vert c_{n}\right\vert 
925,145,десять плюс пять ай,10+5i
926,146,эф от ай,\mathbf {v} _{i}
927,147,пэ стремиться к бесконечности пэ,P\supset P_{\infty }
928,148,ку не равно пэ,q\neq p
929,149,икс,\mathbf {x} 
930,380,один плюс два плюс четыре плюс восемь плюс ,1+2+4+8+\cdots 
931,381,кси принадлежит ка в икс,\xi \in K^{\times }
932,382,множество е по ка множество ка принадлежит зэд,\{e_{k}\}(k\in Z)
933,383,иодуль периода по эн умножить,|\cdot |_{n}.
934,384,джи эл от множества эн ка,"\operatorname {GL} (n,K)"
935,385,кси,"\xi ,"
936,386,синус в квадрате а равно единица минус косинус в квадрате а,\sin ^{2}A=1-\cos ^{2}A
937,387,джи,j
938,388,икс равно единице,x=1
939,389,ноль плюс один плюс два плюс три плюс равно ноль плюс икс равно икс,0+1+2+3+\ldots =0+x=x
940,950,пэ по тэ,{\acute {P}}_{t}
941,951,пэ от эф равно нулю,p(f)=0
942,952,эс по эн минус эс по эм меньше или равно а по эм,S_{n}-S_{m}\leq a_{m}
943,953,ка разделить на ку,K/\mathbb {Q} 
944,954,а по вэ в степени икс,A_{v}^{\times }
945,955,ка джи минус один,"(k,j-1)"
946,956,пэ принадлежит множеству пэ один пэ энное,"p\in \{p_{1},\ldots ,p_{n}\}"
947,957,эм разделить на л разделить на ка,"M/L/K,"
948,958,период пэ,|\cdot |_{\mathfrak {p}}
949,959,алеф нуль равно омега,\aleph _{0}=\omega 
950,1020,икс минус скобка открывается ю лямбда запятая и плюс эм скобка закрывается запятая ,"x-(u_{\lambda ,i}+M),"
951,1021,тэ ка,T_{k}
952,1022,е плюс цэ равно что восемьдесят ,e+c=180
953,1023,дельта а равно а эф а ноль в минус первой степени ,\Delta A=A_{f}A_{0}^{-1}
954,1024,лимит икс стремится к пэ эф скобка открывается икс скобка закрывается равно эль,\lim _{x\to p^{-}}f(x)=L
955,1025,эф скобка открывается икс скобка закрывается ,F(x)
956,1026,скобка открывается зет скобка закрывается в квадрате равно скобка открывается зет в квадрате скобка закрывается ,|z|^{2}=|z^{2}|
957,1027,эм плюс эн,m+n
958,1028,икс стремится к икс в минус первой степени ,x\mapsto x^{-1}
959,1029,один плюс один равно два,1+1=2
960,100,в скобках эф плюс джи умножить на икс равно эф от икс плюс джи от икс,(f+g)(x)=f(x)+g(x)
961,101,вэ меньше бесконечности,v<\infty .
962,102,о от икс игрек,"{\hat {o}}(x,y)"
963,103,и эр в икс,"\iota ,R^{\times }"
964,104,а плюс эм а икс от бэ цэ равно эм а икс от а плюс бэ а плюс цэ,"a+\max(b,c)=\max(a+b,a+c)."
965,105,эс от икс игрек,"s(x,y)"
966,106,пэ принадлежит зэд,p\in \mathbf {Z} 
967,107,и по ка эс,"I_{K,S}"
968,108,и плюс бэ на два минус один,i+{\frac {b}{2}}-1
969,109,эр,r
970,1290,ноль плюс один плюс один плюс один плюс множество равно ноль,0+1+1+1+\ldots =0
971,1291,эпсилон является элементом множества е большое,"\xi \in E,"
972,1292,абсолютная величина икс плюс асолютная величина игрек равно абсолютной величине икс у игрек,|X|+|Y|=|X\cup Y|.
973,1293,а большое равно ка большое,"A=K,"
974,1294,абсолютная величина а эн,|a_{n}|
975,1295,ноль запятая сто одинадцать равно один разделить на девять,0.111\ldots ={\frac {1}{9}}
976,1296,эпсилон,\varepsilon 
977,1297,ка икс в степени и равно ка икс разделить на эм большое,k_{x}^{i}={\frac {k_{x}}{M}}
978,1298,ипсилон в степени лямбда равно ка большое,\nu ^{\lambda }=\kappa 
979,1299,зэт целое число означает множество коммутатора дзэта эн,\mathbb {Z} [\zeta _{n}]
980,1060,ди по джи джи,"d_{j,j}"
981,1061,два умножить на два,2\times 2
982,1062,эр второе,r_{2}
983,1063,эн больше бэ минус а разделить на дельта от эпсилона,N>(b-a)/\delta (\varepsilon )
984,1064,эр а цэ ка по тэ два пи,rac {k_{T}}{2\pi }}
985,1065,эм разделить на эл разделить на ка,M/L/K
986,1066,фи,\varphi 
987,1067,дэ равно сто восемьдесят,d=180
988,1068,а а плюс эм а плюс два эм,"a,a+m,a+2m,\ldots "
989,1069,е принадлежит е,"e\in E,"
990,250,два в третьей степени не равно трём во второй степени ,2^{3}\neq 3^{2}
991,251,икс скобка открывается ю запятая вэ скобка закрывается ,"\mathbf {x} (u,v)"
992,252,эф скобка открывается икс скобка закрывается больше эн,f(x)>N
993,253,кей е эн,k\in \mathbb {N} 
994,254,и,I
995,255,икс больше нуля,x>0
996,256,игрик икс икс игрик икс ,YXXYX
997,257,один плюс два равно три,1+2=3
